,Mouse,track_length,correct,condition_b1_p2
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,88.0,0.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,1.0,1.0
0,1.0,163.0,0.0,1.0
0,1.0,163.0,0.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,1.0,1.0
0,2.0,88.0,0.0,1.0
0,2.0,88.0,0.0,1.0
0,2.0,88.0,0.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,118.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,1.0,1.0
0,2.0,163.0,0.0,1.0
0,2.0,163.0,0.0,1.0
0,2.0,163.0,0.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,230.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,331.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
0,2.0,481.0,1.0,1.0
